id,name,css
"artegrasanscondensedblackita","Artegra Sans Condensed Black Ita","Artegra Sans Condensed Black Ita, system-ui, -apple-system, sans-serif"
"artegrasanscondensedboldita","Artegra Sans Condensed Bold Ita","Artegra Sans Condensed Bold Ita, system-ui, -apple-system, sans-serif"
"artegrasanscondensedextbd","Artegra Sans Condensed Ext Bd","Artegra Sans Condensed Ext Bd, system-ui, -apple-system, sans-serif"
"artegrasanscondensedextbdita","Artegra Sans Condensed Ext Bd Ita","Artegra Sans Condensed Ext Bd Ita, system-ui, -apple-system, sans-serif"
"artegrasanscondensedextlt","Artegra Sans Condensed Ext Lt","Artegra Sans Condensed Ext Lt, system-ui, -apple-system, sans-serif"
"artegrasanscondensedextltita","Artegra Sans Condensed Ext Lt Ita","Artegra Sans Condensed Ext Lt Ita, system-ui, -apple-system, sans-serif"
"artegrasanscondensedmedita","Artegra Sans Condensed Med Ita","Artegra Sans Condensed Med Ita, system-ui, -apple-system, sans-serif"
"artegrasanscondensedsc","Artegra Sans Condensed SC","Artegra Sans Condensed SC, system-ui, -apple-system, sans-serif"
"artegrasanscondensedscbdit","Artegra Sans Condensed SC Bd It","Artegra Sans Condensed SC Bd It, system-ui, -apple-system, sans-serif"
"artegrasanscondensedscblkit","Artegra Sans Condensed SC Blk It","Artegra Sans Condensed SC Blk It, system-ui, -apple-system, sans-serif"
"artegrasanscondensedscexbdit","Artegra Sans Condensed SC Ex Bd It","Artegra Sans Condensed SC Ex Bd It, system-ui, -apple-system, sans-serif"
"artegrasanscondensedscexltit","Artegra Sans Condensed SC Ex Lt It","Artegra Sans Condensed SC Ex Lt It, system-ui, -apple-system, sans-serif"
"artegrasanscondensedscextbd","Artegra Sans Condensed SC Ext Bd","Artegra Sans Condensed SC Ext Bd, system-ui, -apple-system, sans-serif"
"artegrasanscondensedscextlt","Artegra Sans Condensed SC Ext Lt","Artegra Sans Condensed SC Ext Lt, system-ui, -apple-system, sans-serif"
"artegrasanscondensedscltit","Artegra Sans Condensed SC Lt It","Artegra Sans Condensed SC Lt It, system-ui, -apple-system, sans-serif"
"artegrasanscondensedscmedita","Artegra Sans Condensed SC Med Ita","Artegra Sans Condensed SC Med Ita, system-ui, -apple-system, sans-serif"
"artegrasanscondensedscreg","Artegra Sans Condensed SC Reg","Artegra Sans Condensed SC Reg, system-ui, -apple-system, sans-serif"
"artegrasanscondensedscsembd","Artegra Sans Condensed SC Sem Bd","Artegra Sans Condensed SC Sem Bd, system-ui, -apple-system, sans-serif"
"artegrasanscondensedscsmbdit","Artegra Sans Condensed SC Sm Bd It","Artegra Sans Condensed SC Sm Bd It, system-ui, -apple-system, sans-serif"
"artegrasanscondensedscthit","Artegra Sans Condensed SC Th It","Artegra Sans Condensed SC Th It, system-ui, -apple-system, sans-serif"
"artegrasanscondensedsembdita","Artegra Sans Condensed Sem Bd Ita","Artegra Sans Condensed Sem Bd Ita, system-ui, -apple-system, sans-serif"
"artegrasansextended","Artegra Sans Extended","Artegra Sans Extended, system-ui, -apple-system, sans-serif"
